"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Brazil","BRA",208057527,0.901575652095569,1,18,2,4,1,,1,1,0,2,2,1,1,2,1,1,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,1,1,1,1,2,,2,2,,2,1,2,1,,4,1,1,1,2,1,2,1,1,,,1,1,1,2,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,1,2,2,2,1,,1,1,1,4,4,4,1,1,1,1,1,1
"Brazil","BRA",196968690,0.223555133709581,1,54,3,5,2,,1,1,1,2,2,1,1,1,1,1,2,,,,1,2,1,1,1,,,,,,,,,,2,1,2,1,2,2,,2,1,1,1,2,,2,2,1,2,2,2,2,,1,3,3,1,1,,,1,1,,,1,1,1,2,,,2,,,,,,,2,2,,,,,1,3,1,2,,,2,3,3,3,,3,,1,0,4,4,4,1,1,1,1,1,1,1
"Brazil","BRA",205681553,0.223555133709581,1,62,3,5,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,1,1,1,2,2,2,2,,1,3,3,2,,,,2,,,,1,1,1,2,,,1,2,1,1,,,2,2,1,1,2,,,2,,,,,,2,2,2,3,1,1,,1,1,1,4,1,4,1,5,1,1,1,1
"Brazil","BRA",124413113,0.574220329416432,1,57,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,2,1,4,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,3,2,,0,0,4,4,4,4,2,5,1,1,0,0
"Brazil","BRA",147640342,0.376523335637973,2,35,3,4,1,,1,1,0,2,2,1,2,,2,1,1,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,2,2,,1,2,1,1,1,,2,2,,2,1,1,2,,4,2,1,2,,,,2,,,,1,2,1,1,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",157994013,2.20726489959283,2,25,2,2,1,,1,1,0,1,2,1,1,2,1,1,1,2,,2,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,1,1,2,,1,1,,2,2,2,2,,3,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,2,,1,0,4,4,4,4,2,5,1,1,1,1
"Brazil","BRA",152896021,0.763883882108893,1,36,2,1,1,,1,1,1,,,2,,,,,,,,,,,,,,,2,2,2,1,2,1,2,1,2,1,2,2,2,,,1,1,2,,,,2,1,1,2,2,2,1,,2,1,1,1,1,,,2,,,,1,1,1,1,,,2,,,,,,,1,2,1,2,,,2,,,,,,1,2,3,2,1,3,,1,1,4,1,4,4,1,1,1,2,1,0
"Brazil","BRA",180451044,0.432462845557324,2,21,2,4,1,,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,1,2,,,,,,,,,,1,2,2,1,2,1,,1,1,2,,,,2,2,2,2,1,2,1,,3,1,1,2,,,,2,,,,2,,,,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,3,1,2,3,2,2,,1,1,1,4,4,4,4,5,1,1,1,1
"Brazil","BRA",131048318,2.08485250435803,2,52,1,3,2,,1,1,0,1,2,1,1,1,1,1,1,2,,2,1,1,1,1,1,,,,,,,,,,,,,,2,2,,2,2,2,,,,1,1,,1,1,1,1,1,3,2,2,1,1,,,1,1,,,1,1,1,2,,,2,,,,,,,1,1,1,2,,,2,,,,,,3,3,3,3,,3,,1,1,4,1,1,4,1,1,1,1,1,1
"Brazil","BRA",179554880,0.398045184412859,1,24,2,3,1,,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,,,,,,,,,,,,,,1,2,,1,1,1,1,2,,2,1,,2,2,2,2,,4,1,1,2,,,,2,,,,1,1,1,2,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,1,2,1,1,3,1,,1,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",157798977,0.383467946998268,2,40,3,2,1,,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,2,1,2,2,,1,1,1,1,2,,2,1,1,2,2,2,2,,5,2,2,2,,,,1,1,,,1,1,1,2,,,1,2,1,1,,,2,1,1,2,2,2,1,2,,,,,,1,1,2,2,1,2,,1,1,1,1,1,4,1,1,1,1,1,1
"Brazil","BRA",192579388,6.14776617701349,1,64,1,3,2,,1,1,0,1,2,1,2,,2,2,1,2,,1,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,2,2,0,0
"Brazil","BRA",192928619,0.962174393843069,1,38,2,1,1,,1,1,1,1,2,2,,,1,1,2,,,,1,2,1,2,2,,,,,,,,,,,,,2,2,,,1,2,2,,,,2,3,2,2,2,2,1,,2,1,1,2,,,,2,,,,1,1,1,1,,,1,2,2,1,,,1,1,2,1,1,,,2,,,,,,1,1,1,1,3,1,,0,1,1,1,4,4,1,5,1,1,1,0
"Brazil","BRA",172180643,0.223555133709581,1,59,3,5,1,,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,2,1,,1,1,1,1,2,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,3,3,3,,2,,1,1,4,4,4,4,1,5,1,1,1,1
"Brazil","BRA",169081722,0.654837832056475,1,27,2,4,1,,1,1,0,,,1,1,1,1,1,2,,,,1,2,1,1,2,,,,,,,,,,,,,,1,2,,1,1,1,1,2,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,2,,,2,,,,,,1,1,1,1,2,1,,0,0,4,1,4,4,4,5,1,1,1,1
"Brazil","BRA",122924454,2.11242892076339,2,32,2,4,1,,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,1,2,1,1,1,2,,1,1,1,1,1,,2,2,2,2,2,1,2,,3,1,1,2,,,,2,,,,1,1,1,1,,,2,,,,,,,1,2,1,2,,,2,,,,,,3,3,2,1,4,2,,0,1,4,1,4,4,1,5,1,1,1,1
"Brazil","BRA",114623177,2.88081507414673,1,74,2,5,2,,1,1,0,1,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,1,2,2,,,2,,,,,,,2,1,1,2,,,2,,,,,,3,3,3,3,,2,,0,1,4,4,1,4,1,5,2,1,1,0
"Brazil","BRA",210271772,0.62654003881617,2,33,2,4,1,,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,2,2,,1,1,1,1,2,,2,1,,2,2,1,2,,4,2,2,2,,,,2,,,,1,1,1,2,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,3,2,2,3,2,2,,1,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",162028417,0.777972986776606,1,38,2,3,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,1,2,2,1,2,2,,1,1,1,1,2,,2,2,1,2,2,2,2,,4,1,1,2,,,,2,,,,1,1,2,2,,,2,,,,,,,1,2,1,2,,,2,,,,,,2,1,1,2,2,1,,1,1,4,1,4,4,1,5,1,1,1,1
"Brazil","BRA",137391438,0.341080335257448,1,36,3,4,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,2,,1,1,1,1,2,,2,2,,2,2,2,2,,1,1,1,1,1,,,2,,,,1,1,1,2,,,1,1,1,2,,,1,2,2,,,,,2,,,,,,1,2,2,2,4,1,,0,1,1,4,4,4,1,1,1,1,1,1
