"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Brazil","BRA",142972992,0.223555133709581,2,65,3,5,2,,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,2,,1,1,1,1,2,,1,1,1,1,2,2,2,2,4,3,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,1,4,4,4,4,4,5,1,1,1,1
"Brazil","BRA",146771736,0.223555133709581,1,69,3,5,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,2,1,1,1,1,2,,1,1,1,1,2,,2,2,2,2,2,1,2,,4,3,3,1,1,,,1,1,,,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,2,,1,1,4,4,4,4,1,1,1,1,1,1
"Brazil","BRA",180264560,0.383467946998268,2,40,3,5,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,2,1,2,1,1,2,,1,1,1,1,2,,1,1,1,2,2,2,2,,3,3,3,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,3,2,2,3,3,,1,1,4,4,4,4,1,5,1,1,1,1
"Brazil","BRA",130371425,0.321081542895568,1,31,3,5,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,2,2,1,1,2,,1,1,1,1,2,,1,1,1,2,2,2,2,,2,2,1,1,1,,,2,,,,1,1,1,2,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,1,1,1,2,2,1,,1,1,1,4,4,4,1,1,1,1,1,1
"Brazil","BRA",142809754,0.223555133709581,1,58,3,3,2,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,1,2,2,,,2,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,1,4,4,4,4,3,5,1,1,1,1
"Brazil","BRA",153067732,2.52819676174414,2,35,1,2,1,,1,1,0,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,,,,,,,,,,,,,,2,3,,1,2,1,2,2,,2,2,,2,2,2,2,,4,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,2,3,,3,,0,1,4,4,4,4,4,5,1,1,1,1
"Brazil","BRA",116637761,0.841170995074882,1,23,4,3,1,,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,2,1,1,2,1,1,1,,3,2,1,2,,,,1,1,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,1,3,1,,1,1,4,4,4,4,1,1,1,1,1,1
"Brazil","BRA",156654418,0.328727081375566,2,31,3,5,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,2,,1,1,1,1,2,,1,1,1,2,2,2,2,,1,3,3,1,1,,,1,1,,,1,1,1,2,,,1,1,1,1,,,1,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,1,1,4,4,4,1,1,1,1,1,1
"Brazil","BRA",141977348,6.14776617701349,1,23,1,1,2,,1,1,0,2,2,1,2,,2,1,1,2,,2,1,1,1,2,1,,,,,,,,,,,,,,2,,,2,1,2,,,,2,1,,2,2,2,2,,4,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,1,1,1,2,,,2,,,,,,2,1,1,1,2,1,,1,0,4,1,1,4,4,5,1,1,1,0
"Brazil","BRA",125430352,1.2753663827138,2,16,2,5,1,,1,1,0,1,2,2,,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,1,1,,1,2,2,,,,2,2,,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,,,1,2,,,,,,,1,1,1,2,,,2,,,,,,2,1,2,3,2,1,,1,1,4,1,1,4,2,3,1,1,1,1
"Brazil","BRA",167055214,0.269035266789657,1,65,2,1,2,,1,1,0,2,2,1,2,,2,2,2,,,,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,1,1,2,,,,1,1,,,2,,,,,,2,,,,,,,1,1,2,2,1,,2,,,,,,2,1,1,3,3,1,,0,0,4,2,2,4,4,1,1,1,1,0
"Brazil","BRA",151423340,0.383467946998268,2,35,3,5,1,,1,1,0,1,2,1,1,1,1,1,2,,,,1,2,2,,1,,,,,,,,,,,,,,2,2,,2,2,2,,,,2,1,,2,2,2,2,,2,3,3,2,,,,2,,,,2,,,,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,0,1,4,4,4,4,5,1,1,1,1
"Brazil","BRA",173159463,0.301642990645916,2,29,3,4,1,,1,1,0,2,2,1,2,,1,1,2,,,,1,2,1,1,2,,,,,,,,,,,,,,4,,,4,4,4,,,,2,2,,2,2,2,1,,9,,,1,4,4,4,4,,,,1,4,4,,,4,4,,,,,,,4,2,,,,,2,,,,,,1,1,2,2,1,1,,1,1,5,5,4,4,3,4,1,1,1,0
